Titulo,Secao,Url
Towards mechanistic studies of solar fuel synthesis with in situ micro-spectroscopy  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/960_1629720417.pdf
Development of Bi2WO6 photoanodes for selective glycerol photoelectroconversion to formic acid  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/501_1623418188.pdf
Advanced plasma processes at atmospheric pressure for innovative bio-based materials used into flexible organic solar cells  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/785_1625232038.pdf
Design of single-phase C14-type Laves phase multicomponent alloys for hydrogen storage  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/137_1623804064.pdf
Screen printing fabrication of Ti-Nb coatings for PEM electrolysis application.  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/48_1623799662.pdf
Zeolitic Imidazolate Frameworks as Template for the Obtention of Nickel and Manganese Cobaltites Applied as Electrocatalyst for Oxygen Evolution Reaction  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/144_1619016789.pdf
Photoanodes for O2 evolution reaction based on FeTiO3 ilmenite synthesized by an innovative solid-state reaction  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1020_1620821270.pdf
Light-induced Stable Charge Separation in Phenotiazine Aggregates for Application as Electron Donor-Acceptor in Semiconductors  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/268_1619215287.pdf
High Performance Energy Storage Devices Based on Triruthenium Acetate Complex Based Thin Films  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/560_1619387839.pdf
Investigation of the Co/Fe co-doped La-modified Bismuth Titanate Ferroelectric viewing for Photovoltaics Applications  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/772_1620538775.pdf
ZnGa2O4 as an alternative ultra-wide band gap oxide  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/920_1620738933.pdf
Study of MoS2/PEDOT:PSS composites for application in high-performance symmetric supercapacitors  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1160_1620783055.pdf
A new energy harvesting device based on a 2D material delivers 1.2 V and 1.5 mW  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/328_1620945662.pdf
Investigation of the electrochemical hydrogenation of Nb: Effect of hydrogen absorption on the kinetics of the hydrogen evolution reaction  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/87_1618862064.pdf
Unraveling the role of Sb ions incorporation into CH3NH3PbBr3 perovskite  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/801_1620655664.pdf
Understanding Phase Stability of Sodium-Based Perovskites and their Alloys  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/101_1618922690.pdf
Layered Te-based transition metal dichalcogenides as stable beyond lithium-ion battery electrodes  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1040_1623778815.pdf
Connecting the digital materials design revolution with 3D imaging and simulation  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/884_1623167397.pdf
Solid solution of ceria / zirconia by mechanochemical reaction  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/835_1620675778.pdf
Luminescent complexes of Iridium(III) emitters in deep-red doped in PMMA films for application in LSCs  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/461_1619366779.pdf
Structural and electrical characterization of graphene oxide and reduced graphene oxide films for electrode application  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1159_1624308286.pdf
Influence of Eu3+-doping concentration in the structure and luminescence of MgAl2O4:Eu3+  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1092_1620773026.pdf
Carbon role on the luminescence of Yb3+-doped silica-based glasses  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/821_1620668397.pdf
"Influence of Eu3+,Ce3+ co-doping in the structure and luminescence of SrY2O4:RE3+ for WLEDs  Visualizar",A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/255_1619207923.pdf
Photoelectrochemically active thin BiVO4 film efficiently deposited by successive ionic layer adsorption reaction  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1015_1621001859.pdf
Computational modeling of LaMnO3 for electrocatalysis applications  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/243_1619202580.pdf
Study of batteries and the application of graphite/graphene in their performance  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/880_1624307992.pdf
"Functionally graded, soft chemistry processed titania photoanode for water-splitting in liquid or gas phase  Visualizar",A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/518_1619379268.pdf
The role of Nb2O5 deposition method in charge transport of Perovskite Solar Cells  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/193_1623074707.pdf
A study of new Sb-based high entropy alloys synthesized by non-conventional methods  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1250_1622597843.pdf
Structural effects of ball milling on MWCNTs  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/345_1623438422.pdf
Designing multifunctionality magnetic microtube with enhanced conductivity through local heterojunction decoration of CsPbBr3 nanocrystals  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/756_1620422123.pdf
Electrochemical characterization of the ceramic composite Sr0.66(La0.33)Mn0.66(Cr0.33)O3+/-Z  and ZrO2 – 8 mol% Y2O3 candidate for solid oxide fuel cell cathode  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1078_1620769749.pdf
Photoelectrochemical conversion of CO2 to methanol over rGO-Sn nanocomposite  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/56_1618239243.pdf
Erdite Supraparticles for rechargeable sodium batteries  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/966_1623336838.pdf
Natural latex and graphite nanocomposites for low-cost flexoelectric sensor and energy harvesting devices  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/573_1619390789.pdf
Spectroscopy studies of downconversion process to NaY(MoO4)2:Pr3+/Yb3+ particles  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/374_1623762157.pdf
Electrical Conductivity and Grain Growth of 12Ce-TZP  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/397_1619310714.pdf
Cs2AgSbCl6 DOUBLE PEROVSKITE SYNTHESIZED BY SOLUTION REACTION ROUTE  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/838_1623865708.pdf
Bi2Fe4O9 photoanodes for solar-driven water splitting: obtaining higher value-added chemicals using glycerol as sacrificial agent  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/852_1620701881.pdf
Electronic structure of non-fullerene acceptors for solar cells: the effect of building blocks  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/860_1620684605.pdf
Electrical Characterization of CuS Counter Electrodes for Application in Quantum Dots Sensitized Solar Cells  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/362_1619296046.pdf
Tungsten-Doped Potassium-Sodium Niobate: Oxygen Evolution via Electrophotocatalysis in Aqueous Medium  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/493_1619385320.pdf
Supercapacitor performance comparison of composites based on oxides@sugarcane biomass  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1201_1629552169.pdf
Effect of the Printing Angle on Electrical and Mechanical Properties of 3D printed Polymeric Parts  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/426_1619354525.pdf
Unveiling electrochemical performance of tantalum disulfide (TaS2) as beyond lithium-ion battery anode material  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1039_1620763341.pdf
"Hydrogen storage properties of TiVNb(Cr, Co or Ni) multicomponent alloys  Visualizar",A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/92_1618969022.pdf
Potassium intercalation in Prussian Blue films  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/659_1624320489.pdf
Microwave sinterability of nanostructured ZnO macroporous ceramic foams produced by bioinspired replica technique  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/832_1620675019.pdf
Effect of dwell time and magnitude of electrical current density in the densification of flash sintered 8YSZ  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/780_1620601586.pdf
Influence of the effect of different variations of the flash sintering on the microstructure and densification of 8YSZ  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/782_1623152801.pdf
Structural characterization and hydrogen absorption of TiVCr and TiNbCr alloys  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/104_1618928190.pdf
Production of polymer - metal hydride microparticles envisioning hydrogen storage applications  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/974_1620751342.pdf
Connecting ultrafast dynamics and thermodynamics in fuel cell poly (ethylene oxide) solutions  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/842_1620679204.pdf
Rational analysis applied to calculate the unknown stoichiometry of Li-ternary oxides blended to Li-mono oxides in cathode material mixtures  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/925_1620740219.pdf
"Effect of ambient temperature, C-rate, and SOH on the charge and discharge performance and self-temperature of LCO batteries  Visualizar",A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/932_1623699050.pdf
Mixture optimization of metal oxide catalysts for biodiesel production  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/873_1624278576.pdf
Post-synthesis modification of MOF-808(Ce-IV) using FeCl2 for application in the selective oxidation catalysis of cyclohexane  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/367_1619455270.pdf
"Tailoring the optical, electronic and magnetic properties of MAPbI3 through self-assembled Fe incorporation  Visualizar",A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/317_1619283185.pdf
Ceria nanorods combined with Pd-Pt nanoparticles alloy for oxygen reduction reaction applied in alkaline direct ethanol fuel cells  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/115_1618935246.pdf
Nanostructured Electrocatalysts based on Palladium and Low-cost oxides for Acetol Oxidation Reaction  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/176_1623073691.pdf
Influence of Cold-rolling on the Hydrogen Sorption Kinetics of a Zirconium Alloy  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/830_1620672092.pdf
Study of the catalytic potential of calcium oxide for the production of aromatic compounds from aquatic plant biomass  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/951_1620784599.pdf
Nuclear fuel spacer grids brazed surface of PWR-type reactors evaluated by XPS technique  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/398_1619312170.pdf
Calculation of PCT diagrams of BCC multicomponent alloys for hydrogen storage  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/121_1629814128.pdf
Multicomponent transition metal antimonide nanoparticles  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1251_1623452096.pdf
Flexible supercapacitors based on PEDOT:PSSelectrodes and gel electrolyte on Ag/paper as substrate  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/183_1623856713.pdf
Exploiting new Al-based metal-organic frameworks for use in adsorption-driven heat pump devices  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/307_1619277700.pdf
On the production of Ni2H and NiH nano-metallic hydrides for solid hydrogen storage  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/300_1619273530.pdf
Design of high entropy alloy of the Mg-Al-Ti-V-Zn for hydrogen storage  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/118_1618937033.pdf
Efficient Ti3C2Tx MXene/TiO2 based photoanodes for dye-sensitized solar cells  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1108_1620774802.pdf
Structures Based on Nitrogen-Doped Graphene: Influence of the Precursor on its Properties and its Performance on Electrodes for Supercapacitors  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/603_1619449564.pdf
Microwave assisted chemical synthesis of carbon quantum dots using glycerol as green solvent  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/598_1629765719.pdf
Electrochemical Energy Conversion in Nanomembrane-based Hollow Microenvironments  Visualizar,A - Materials for energy conversion and storage  / Poster,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/973_1620783204.pdf
Understanding and Optimizing Interface Energetics and Processes: an essential step towards efficient and stable 2D/3D perovskite solar cells  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/802_1620657048.pdf
Reproducibility in Perovskite Solar Cells  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/854_1620682835.pdf
Minimizing voltage losses in organic solar cells with a low energy offset  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1218_1621017344.pdf
Scale-up challenge and comparison between Hybrid and Organic Photovoltaic  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/594_1619389581.pdf
Black Phase Stabilization of Formamidinium Based Halide Perovskites and Outdoor Characterization  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1239_1621430516.pdf
Perovskites for Efficient Tandem Solar Cells  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/695_1619980620.pdf
Understanding the perovskite/self-assembled selective contact interface for ultra-stabñe p-i-n and high efficient perovskite solar cells.  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/287_1619254569.pdf
Synthetic strategies in functional NIR dyes towards transparent and colorless Dye-sensitized Solar Cells  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1099_1620773567.pdf
Understanding the nanoscale landscape in halide perovskite devices  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1107_1629984425.pdf
Understanding charge carrier transport in the bulk and at interfaces in lead halide perovskites  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/5_1615562706.pdf
From Single-Crystal Thin Films to Amorphous Halide Perovskite: Insights into Structure-Property Relationships in Materials and Devices using X-ray Microscopy and Electrochemical Screening  Visualizar,"C - Energy Harvesting II: Organic, Perovskite and Hybrid Solar Cells and Materials / Invited Lecture",https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/972_1620751165.pdf
